songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.27    0.23    0.35    0.13    0.11    0.17    0.19    0.20    0.18    0.48    0.37    0.71
2    0.48    0.36    0.79    0.73    0.63    0.88    0.22    0.13    0.56    0.49    0.33    0.92
3    0.31    0.24    0.58    0.11    0.08    0.17    0.22    0.13    0.87    0.59    0.50    0.72
4    0.51    0.43    0.63    0.82    0.74    0.94    0.70    0.56    0.95    0.00    0.00    0.00
5    0.24    0.22    0.26    0.72    0.67    0.79    0.00    0.00    0.00    0.00    0.00    0.00
6    0.53    0.49    0.71    0.76    0.78    0.75    0.22    0.13    0.73    0.60    0.56    0.64
7    0.58    0.51    0.80    0.49    0.50    0.49    0.86    0.79    0.94    0.40    0.25    0.97
8    0.08    0.25    0.05    0.05    0.04    0.05    0.00    0.00    0.00    0.20    0.70    0.11
9    0.46    0.39    0.59    0.31    0.22    0.54    0.42    0.39    0.46    0.65    0.57    0.75
10    0.17    0.11    0.62    0.07    0.05    0.16    0.01    0.01    1.00    0.41    0.29    0.72
11    0.36    0.31    0.54    0.08    0.06    0.12    0.43    0.28    0.90    0.58    0.58    0.59
12    0.30    0.26    0.37    0.10    0.08    0.14    0.00    0.00    0.00    0.82    0.70    0.97
13    0.24    0.16    0.52    0.02    0.02    0.02    0.35    0.22    0.93    0.34    0.24    0.62
14    0.35    0.44    0.41    0.18    0.37    0.12    0.24    0.15    0.56    0.64    0.78    0.54
15    0.26    0.35    0.27    0.12    0.08    0.23    0.26    0.21    0.32    0.40    0.76    0.27
16    0.41    0.33    0.61    0.34    0.26    0.52    0.17    0.10    0.54    0.70    0.63    0.78
17    0.51    0.45    0.67    0.99    0.98    1.00    0.02    0.01    0.08    0.51    0.35    0.93
18    0.69    0.63    0.76    0.65    0.55    0.79    0.65    0.63    0.67    0.77    0.72    0.82
19    0.39    0.46    0.65    0.46    0.35    0.64    0.14    0.07    0.88    0.59    0.94    0.42
20    0.32    0.22    0.60    0.36    0.24    0.70    0.18    0.12    0.39    0.43    0.31    0.70
21    0.51    0.41    0.72    0.51    0.37    0.82    0.55    0.43    0.74    0.49    0.42    0.59
22    0.25    0.25    0.36    0.22    0.24    0.21    0.14    0.08    0.53    0.39    0.44    0.35
23    0.41    0.33    0.56    0.42    0.39    0.47    0.39    0.27    0.66    0.42    0.34    0.56
24    0.40    0.31    0.78    0.56    0.40    0.91    0.16    0.09    0.89    0.49    0.44    0.55
25    0.32    0.25    0.54    0.30    0.19    0.74    0.38    0.27    0.63    0.26    0.30    0.24
26    0.34    0.29    0.48    0.21    0.17    0.29    0.18    0.11    0.51    0.62    0.60    0.64
27    0.36    0.25    0.69    0.27    0.16    0.79    0.23    0.15    0.54    0.57    0.46    0.75
average    0.37    0.33    0.55    0.37    0.32    0.50    0.27    0.21    0.57    0.48    0.47    0.59
