songID    all_f    all_p    all_r    bd_f    bd_p    bd_r    sd_f    sd_p    sd_r    hh_f    hh_p    hh_r
1    0.36    0.29    0.53    0.28    0.20    0.49    0.53    0.38    0.87    0.27    0.29    0.24
2    0.47    0.47    0.60    0.60    0.49    0.77    0.56    0.41    0.87    0.24    0.50    0.16
3    0.44    0.53    0.53    0.74    0.69    0.81    0.43    0.31    0.69    0.16    0.58    0.09
4    0.38    0.31    0.52    0.45    0.41    0.52    0.53    0.40    0.78    0.16    0.12    0.25
5    0.34    0.36    0.42    0.63    0.48    0.95    0.00    0.00    0.00    0.40    0.59    0.30
6    0.51    0.48    0.56    0.93    0.90    0.97    0.61    0.53    0.72    0.00    0.00    0.00
7    0.32    0.25    0.48    0.43    0.41    0.45    0.52    0.35    1.00    0.00    0.00    0.00
8    0.49    0.46    0.61    0.17    0.14    0.22    0.52    0.36    0.91    0.78    0.87    0.70
9    0.74    0.68    0.92    0.89    0.82    0.96    0.45    0.30    0.97    0.88    0.92    0.84
10    0.64    0.56    0.76    0.78    0.75    0.82    0.69    0.54    0.95    0.44    0.39    0.49
11    0.53    0.54    0.59    0.11    0.19    0.07    0.68    0.53    0.96    0.81    0.90    0.73
12    0.53    0.48    0.59    0.91    0.85    0.98    0.00    0.00    0.00    0.67    0.58    0.79
13    0.42    0.36    0.87    0.78    0.76    0.80    0.39    0.26    0.81    0.08    0.04    1.00
14    0.44    0.33    0.68    0.09    0.09    0.09    0.50    0.34    0.97    0.72    0.57    0.98
15    0.48    0.41    0.61    0.42    0.41    0.44    0.27    0.19    0.45    0.76    0.63    0.96
16    0.61    0.46    0.96    0.60    0.43    0.99    0.50    0.33    0.98    0.74    0.61    0.93
17    0.62    0.50    0.84    0.53    0.50    0.56    0.61    0.45    0.98    0.71    0.56    0.98
18    0.61    0.54    0.77    0.90    0.90    0.91    0.41    0.27    0.78    0.52    0.46    0.61
19    0.69    0.72    0.68    0.95    0.99    0.91    0.40    0.53    0.32    0.72    0.64    0.83
20    0.75    0.67    0.87    0.92    0.89    0.95    0.66    0.52    0.91    0.68    0.62    0.74
21    0.40    0.32    0.61    0.10    0.09    0.11    0.39    0.25    0.84    0.72    0.61    0.89
22    0.63    0.53    0.80    0.73    0.60    0.93    0.68    0.55    0.88    0.50    0.43    0.58
23    0.66    0.56    0.85    0.77    0.68    0.89    0.53    0.38    0.88    0.68    0.61    0.77
average    0.52    0.47    0.68    0.60    0.55    0.68    0.47    0.36    0.76    0.51    0.50    0.60
